""	"input"	"filtered"	"denoised"	"merged"	"tabled"
"10A-DNA"	8666	5530	5207	4664	4664
"10A-rna"	10574	6430	5892	5377	5377
"10D-DNA"	110942	74746	70811	57402	57402
"10D-rna"	17032	8820	7909	5783	5783
"10H-DNA"	20687	13699	13005	11650	11650
"10H-rna"	6311	3844	3675	3263	3263
"1A-DNA"	4422	2942	2761	2602	2602
"1A-rna"	9479	6304	6098	4283	4283
"1D-DNA"	72848	48757	46127	36070	36070
"1H-DNA"	12348	8536	8193	6651	6651
"1H-rna"	9403	6343	6045	5650	5650
"2A-DNA"	12642	8193	7982	6172	6172
"2A-rna"	8584	5390	5224	3236	3236
"2D-DNA"	127441	86383	84017	72982	72982
"2D-rna"	66558	45064	43921	38493	38493
"2H-DNA"	3879	2597	2489	2295	2295
"2H-rna"	45071	30166	29370	27185	27185
"3A-DNA"	5311	3474	3303	3100	3100
"3A-rna"	8240	5089	4861	4682	4682
"3D-DNA"	75277	51022	49161	43051	43051
"3H-DNA"	13047	8869	8571	7974	7974
"4A-DNA"	9310	6184	5800	5094	5094
"4D-DNA"	67159	44016	41136	31189	31189
"4H-DNA"	37695	24663	24025	22156	22156
"4H-rna"	9797	6376	6066	5075	5075
"5A-DNA"	5157	3563	3358	3050	3050
"5A-rna"	12272	7856	7587	4230	4230
"5D-DNA"	66416	44622	42879	36545	36545
"5H-DNA"	11864	8457	8269	4968	4968
"5H-rna"	4483	2855	2692	2564	2564
"6A-DNA"	1916	1262	1165	974	974
"6A-rna"	17403	10733	10184	6097	6097
"6D-DNA"	76664	51723	48698	35754	35754
"6H-DNA"	61776	41563	40628	38123	38123
"6H-rna"	2802	1904	1697	1455	1455
"7A-DNA"	2089	1426	1314	1240	1240
"7A-rna"	6519	3765	3499	3293	3293
"7D-DNA"	34234	22714	21542	18007	18007
"7D-rna"	79949	51914	49545	43039	43039
"7H-DNA"	13602	9478	9165	6616	6616
"7H-rna"	16742	11073	10593	9638	9638
"8A-DNA"	14312	9667	9279	8497	8497
"8A-rna"	10396	6322	6095	5370	5370
"8D-DNA"	12064	7770	7486	6449	6449
"8D-rna"	103754	69633	67978	62242	62242
"8H-rna"	9413	5962	5744	5372	5372
"9D-DNA"	59453	39032	37873	33717	33717
"9D-rna"	14136	8763	8441	7782	7782
"9H-DNA"	8845	5751	5340	4843	4843
"9H-rna"	9623	5373	4827	4491	4491
"Blank-2022-09"	786	267	166	128	128
"Blank2"	586	167	59	42	42
